,Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,File
69,123,Mauritania,Middle East and North Africa,"4,292","3,46627","0,7898",56.0,"0,14599","0,24087","0,29497",data/raw/world_happiness_2017.csv
70,96,Tajikistan,Commonwealth of Independent States,"5,041","2,80481","0,78945",63.0,"0,7164","0,29711","0,31526",data/raw/world_happiness_2017.csv
71,21,United Arab Emirates,Middle East and North Africa,"6,648","8,69346","0,78631",68.0,"0,92419","0,43068","0,69887",data/raw/world_happiness_2017.csv
72,71,Hong Kong S.A.R. of China,East Asia,"5,472","8,29433","0,78406",75.0,"0,74587","0,44682","0,63306",data/raw/world_happiness_2017.csv
73,120,Sri Lanka,South Asia,"4,44","5,39806","0,78232",65.0,"0,85259","0,5857","0,15863",data/raw/world_happiness_2017.csv
74,39,Kuwait,Middle East and North Africa,"6,105","8,72879","0,78214",66.0,"0,75403","0,2724","0,4634",data/raw/world_happiness_2017.csv
75,73,Serbia,Central and Eastern Europe,"5,395","5,71594","0,78121",66.0,"0,31708","0,26266","0,0881",data/raw/world_happiness_2017.csv
76,29,Guatemala,Latin America and Caribbean,"6,454","4,6612","0,77959",63.0,"0,80716","0,33826","0,16632",data/raw/world_happiness_2017.csv
77,72,Philippines,Southeast Asia,"5,43","4,58475","0,77855",61.0,"0,88905","0,2309","0,21394",data/raw/world_happiness_2017.csv
78,56,Moldova,Central and Eastern Europe,"5,838","3,89611","0,77725",64.0,"0,36571","0,24912","0,02173",data/raw/world_happiness_2017.csv
79,87,Greece,Middle East and North Africa,"5,227","6,89283","0,76955",71.0,"0,14543",0,"0,09324",data/raw/world_happiness_2017.csv
80,74,Jordan,Middle East and North Africa,"5,336","5,29736","0,76935",65.0,"0,63566","0,20544","0,25803",data/raw/world_happiness_2017.csv
81,83,Montenegro,Central and Eastern Europe,"5,237","5,99289","0,7689",67.0,"0,29622","0,23615","0,1899",data/raw/world_happiness_2017.csv
82,126,Congo (Kinshasa),Sub-Saharan Africa,"4,28","0,49232","0,7631",53.0,"0,35847","0,29407","0,12974",data/raw/world_happiness_2017.csv
83,58,Bolivia,Latin America and Caribbean,"5,823","4,45677","0,76222",61.0,"0,84882","0,26914","0,13025",data/raw/world_happiness_2017.csv
84,142,Botswana,Sub-Saharan Africa,"3,766","5,99805","0,75846",57.0,"0,76749","0,11854","0,21232",data/raw/world_happiness_2017.csv
85,63,Peru,Latin America and Caribbean,"5,715","5,5337","0,75673",66.0,"0,68364","0,15132","0,10133",data/raw/world_happiness_2017.csv
86,95,Nigeria,Sub-Saharan Africa,"5,074","4,18949","0,75487",49.0,"0,60001","0,27557","0,05626",data/raw/world_happiness_2017.csv
87,130,Sudan,Western Europe,"4,139","3,52538","0,75377",56.0,"0,02278","0,21754","0,19351",data/raw/world_happiness_2017.csv
88,25,Mexico,Latin America and Caribbean,"6,578","6,16423","0,75182",68.0,"0,62701","0,14437","0,28596",data/raw/world_happiness_2017.csv
89,64,Mauritius,Sub-Saharan Africa,"5,629","6,3578","0,75101",66.0,"0,74629","0,43067","0,09085",data/raw/world_happiness_2017.csv
90,92,Macedonia,Central and Eastern Europe,"5,175","5,6906","0,74998",66.0,"0,49511","0,30279","0,12982",data/raw/world_happiness_2017.csv
91,139,Lesotho,Sub-Saharan Africa,"3,808","2,78507","0,73893",47.0,"0,59349","0,18793","0,2565",data/raw/world_happiness_2017.csv
92,61,North Cyprus,Middle East and North Africa,"5,81","7,19979","0,73657",71.0,"0,71584","0,3184","0,33459",data/raw/world_happiness_2017.csv
93,45,El Salvador,Latin America and Caribbean,"6,003","4,86317","0,73398",65.0,"0,65697","0,09338","0,1938",data/raw/world_happiness_2017.csv
94,115,Senegal,Sub-Saharan Africa,"4,535","2,5621","0,73247",59.0,"0,57413","0,21892","0,24867",data/raw/world_happiness_2017.csv
95,99,Nepal,South Asia,"4,962","2,56483","0,73221",62.0,"0,66891","0,47024","0,15717",data/raw/world_happiness_2017.csv
96,79,China,East Asia,"5,273","5,77927","0,72076",69.0,"0,71825","0,03437","0,04909",data/raw/world_happiness_2017.csv
97,103,Palestinian Territories,Middle East and North Africa,"4,775","3,82864","0,71754",64.0,"0,38695","0,13623","0,19229",data/raw/world_happiness_2017.csv
98,118,Gabon,Sub-Saharan Africa,"4,465","6,40492","0,71752",58.0,"0,47448","0,05225","0,16379",data/raw/world_happiness_2017.csv
99,85,Azerbaijan,Commonwealth of Independent States,"5,234","6,16647","0,71552",63.0,"0,60487","0,05402","0,3898",data/raw/world_happiness_2017.csv
100,57,Romania,Central and Eastern Europe,"5,825","6,50901","0,71409",67.0,"0,69427","0,15932","0,00945",data/raw/world_happiness_2017.csv
101,53,Argelia,Middle East and North Africa,"5,872","5,83646","0,71168",65.0,"0,35448","0,08285","0,31465",data/raw/world_happiness_2017.csv
102,91,Honduras,Latin America and Caribbean,"5,181","3,90521","0,71027",64.0,"0,5288","0,28182","0,15797",data/raw/world_happiness_2017.csv
103,78,Kosovo,Central and Eastern Europe,"5,279","5,08607","0,70649",63.0,"0,39542","0,38175","0,12378",data/raw/world_happiness_2017.csv
104,65,Cyprus,Western Europe,"5,621","7,24804","0,70246",72.0,"0,53948","0,32366","0,08882",data/raw/world_happiness_2017.csv
105,133,Uganda,Sub-Saharan Africa,"4,081","2,0389","0,70151",54.0,"0,67328","0,38871","0,12291",data/raw/world_happiness_2017.csv
106,88,Lebanon,Middle East and North Africa,"5,225","5,74624","0,70138",69.0,"0,43831","0,31555","0,0808",data/raw/world_happiness_2017.csv
107,55,South Korea,East Asia,"5,838","7,49254","0,70054",73.0,"0,39183","0,24661","0,13629",data/raw/world_happiness_2017.csv
108,114,Myanmar,Southeast Asia,"4,545","1,96235","0,69741",59.0,"0,78161",1,"0,40666",data/raw/world_happiness_2017.csv
109,140,Angola,Sub-Saharan Africa,"3,795","4,58865","0,68573",49.0,0,"0,11685","0,15016",data/raw/world_happiness_2017.csv
110,111,Namibia,Sub-Saharan Africa,"4,574","5,15529","0,68204",57.0,"0,79044","0,09204","0,20061",data/raw/world_happiness_2017.csv
111,138,Zimbabwe,Sub-Saharan Africa,"3,875","2,00905","0,67249",53.0,"0,51103","0,22569","0,20541",data/raw/world_happiness_2017.csv
112,50,Belize,Latin America and Caribbean,"5,956","4,8535","0,67145",60.0,"0,83177","0,28639","0,20801",data/raw/world_happiness_2017.csv
113,90,Bosnia and Herzegovina,Central and Eastern Europe,"5,182","5,25138","0,66395",68.0,"0,31053","0,39241",0,data/raw/world_happiness_2017.csv
114,112,Kenya,Sub-Saharan Africa,"4,553","2,99599","0,66309",56.0,"0,68783","0,53081","0,13922",data/raw/world_happiness_2017.csv
115,134,Burkina Faso,Sub-Saharan Africa,"4,032","1,87211","0,64777",54.0,"0,49277","0,29933","0,25916",data/raw/world_happiness_2017.csv
116,153,Tanzania,Sub-Saharan Africa,"3,349","2,73223","0,64697",58.0,"0,59251","0,4227","0,14222",data/raw/world_happiness_2017.csv
117,121,Armenia,Commonwealth of Independent States,"4,376","4,81405","0,62554",66.0,"0,30126","0,09962","0,05745",data/raw/world_happiness_2017.csv
118,129,Cambodia,Southeast Asia,"4,168","3,21668","0,62477",60.0,"0,96221","0,46049","0,14668",data/raw/world_happiness_2017.csv
119,116,Zambia,Sub-Saharan Africa,"4,514","3,40185","0,62288",55.0,"0,70126","0,2978","0,16845",data/raw/world_happiness_2017.csv
120,104,Egypt,Middle East and North Africa,"4,735","5,29036","0,61933",62.0,"0,42858","0,15348","0,24635",data/raw/world_happiness_2017.csv
121,135,Niger,Sub-Saharan Africa,"4,028","0,86556","0,61657",55.0,"0,55246","0,27286","0,29845",data/raw/world_happiness_2017.csv
122,106,Sierra Leone,Sub-Saharan Africa,"4,709","1,96936","0,61105",47.0,"0,48416","0,34966","0,15312",data/raw/world_happiness_2017.csv
123,117,Iraq,Middle East and North Africa,"4,497","5,89443","0,60762",62.0,"0,43837","0,23821","0,23092",data/raw/world_happiness_2017.csv
124,77,Croatia,Central and Eastern Europe,"5,293","6,53506","0,60102",68.0,"0,38856","0,29592","0,09283",data/raw/world_happiness_2017.csv
125,137,Chad,Sub-Saharan Africa,"3,936","2,34136","0,59225",48.0,"0,24663","0,25787","0,1154",data/raw/world_happiness_2017.csv
126,107,Cameroon,Sub-Saharan Africa,"4,695","3,01644","0,58738",51.0,"0,65384","0,28195","0,1105",data/raw/world_happiness_2017.csv
127,151,Rwanda,Sub-Saharan Africa,"3,471","1,9711","0,58719",57.0,"0,88393","0,30159","0,98043",data/raw/world_happiness_2017.csv
128,146,Yemen,Middle East and North Africa,"3,593","3,16279","0,58078",56.0,"0,37898","0,12424","0,12226",data/raw/world_happiness_2017.csv
129,144,Madagascar,Sub-Saharan Africa,"3,644","1,63467","0,56689",58.0,"0,28742","0,24906","0,1448",data/raw/world_happiness_2017.csv
130,128,Ivory Coast,Sub-Saharan Africa,"4,18","3,22354","0,56177",49.0,"0,68015","0,24012","0,28012",data/raw/world_happiness_2017.csv
131,131,Ghana,Sub-Saharan Africa,"4,12","3,56659","0,54246",56.0,"0,64265","0,30656","0,05457",data/raw/world_happiness_2017.csv
132,148,Liberia,Sub-Saharan Africa,"3,533","0,63633","0,5415",54.0,"0,50571","0,31805","0,08388",data/raw/world_happiness_2017.csv
133,113,Mozambique,Sub-Saharan Africa,"4,55","1,25246","0,54062",50.0,"0,73041","0,38449","0,38646",data/raw/world_happiness_2017.csv
134,102,Tunisia,Middle East and North Africa,"4,805","5,38424","0,53916",65.0,"0,44008","0,05929","0,18678",data/raw/world_happiness_2017.csv
135,119,Ethiopia,Sub-Saharan Africa,"4,46","1,81334","0,53687",58.0,"0,62111","0,37306","0,35635",data/raw/world_happiness_2017.csv
136,124,Congo (Brazzaville),Sub-Saharan Africa,"4,291","4,32424","0,51661",56.0,"0,66088","0,1442","0,17148",data/raw/world_happiness_2017.csv
137,109,Albania,Central and Eastern Europe,"4,644","5,32505","0,49901",68.0,"0,57957","0,24021","0,08586",data/raw/world_happiness_2017.csv
138,149,Guinea,Sub-Saharan Africa,"3,507","1,30722","0,49128",53.0,"0,52957","0,31598","0,23893",data/raw/world_happiness_2017.csv
139,84,Morocco,Middle East and North Africa,"5,235","4,69388","0,48111",65.0,"0,62007","0,03843","0,18902",data/raw/world_happiness_2017.csv
140,122,India,South Asia,"4,315","4,23474","0,46839",60.0,"0,714","0,27627","0,19863",data/raw/world_happiness_2017.csv
141,110,Bangladesh,South Asia,"4,608","3,13606","0,45644",63.0,"0,72671","0,20554","0,26646",data/raw/world_happiness_2017.csv
142,93,Somalia,Sub-Saharan Africa,"5,151","0,12104","0,44776",51.0,"0,91474","0,34798","0,60824",data/raw/world_happiness_2017.csv
143,108,Iran,Middle East and North Africa,"4,692","6,18396","0,4418",66.0,"0,37877","0,46206","0,10502",data/raw/world_happiness_2017.csv
144,80,Pakistan,South Asia,"5,269","3,88549","0,41767",59.0,"0,35733","0,37639","0,26781",data/raw/world_happiness_2017.csv
145,145,Haiti,Latin America and Caribbean,"3,603","1,97037","0,39765",55.0,"0,04614","0,58372","0,2151",data/raw/world_happiness_2017.csv
146,154,Burundi,Sub-Saharan Africa,"2,905","0,48976","0,39104",52.0,"0,091","0,24393","0,18123",data/raw/world_happiness_2017.csv
147,147,South Sudan,Sub-Saharan Africa,"3,591","2,12345","0,37336",52.0,"0,22341","0,34087","0,25154",data/raw/world_happiness_2017.csv
148,141,Afghanistan,South Asia,"3,794","2,14606","0,36108",53.0,"0,16131","0,37213","0,13172",data/raw/world_happiness_2017.csv
149,125,Georgia,Commonwealth of Independent States,"4,286","5,08141","0,35429",66.0,"0,47005","0,06444","0,54203",data/raw/world_happiness_2017.csv
150,136,Malawi,Sub-Saharan Africa,"3,97","1,24784","0,31825",56.0,"0,70933","0,34265","0,1566",data/raw/world_happiness_2017.csv
151,143,Benin,Sub-Saharan Africa,"3,657","2,30433","0,27028",53.0,"0,64712","0,24813","0,13123",data/raw/world_happiness_2017.csv
152,150,Togo,Sub-Saharan Africa,"3,495","1,63273","0,26815",54.0,"0,57794","0,23494","0,20604",data/raw/world_happiness_2017.csv
153,152,Syria,Middle East and North Africa,"3,462","4,1542","0,24594",62.0,"0,12387","0,58904","0,32596",data/raw/world_happiness_2017.csv
154,155,Central African Republic,Sub-Saharan Africa,"2,693",0,0,48.0,"0,41146","0,33514","0,12183",data/raw/world_happiness_2017.csv
0,145,Afghanistan,South Asia,"3,6315","2,01215","0,20121",59.0,"0,11671","0,31964","0,07937",data/raw/world_happiness_2018.csv
1,112,Albania,Central and Eastern Europe,"4,586","5,55338","0,55534",70.0,"0,57789","0,2497","0,07098",data/raw/world_happiness_2018.csv
2,84,Argelia,Middle East and North Africa,"5,2946","5,93587","0,59359",68.0,"0,10667","0,09237","0,29437",data/raw/world_happiness_2018.csv
3,142,Angola,Sub-Saharan Africa,"3,7948","4,42773","0,44277",59.0,0,"0,13198","0,13409",data/raw/world_happiness_2018.csv
4,29,Argentina,Latin America and Caribbean,"6,388","6,50476","0,65048",69.0,"0,78637","0,10366","0,11709",data/raw/world_happiness_2018.csv
5,129,Armenia,Commonwealth of Independent States,"4,3206","4,95064","0,49506",68.0,"0,35902","0,12894","0,06049",data/raw/world_happiness_2018.csv
6,10,Australia,North America and ANZ,"7,2721","8,12558","0,81256",73.0,"0,8924","0,60412","0,66165",data/raw/world_happiness_2018.csv
7,12,Austria,Western Europe,"7,1394","8,13407","0,81341",73.0,"0,85198","0,40499","0,48979",data/raw/world_happiness_2018.csv
8,87,Azerbaijan,Commonwealth of Independent States,"5,2006","6,20973","0,62097",66.0,"0,59332","0,05172","0,38622",data/raw/world_happiness_2018.csv
9,43,Bahrain,Middle East and North Africa,"6,1051","8,11235","0,81123",68.0,"0,82043","0,40655","0,2693",data/raw/world_happiness_2018.csv
10,115,Bangladesh,South Asia,"4,5004","3,22814","0,32281",66.0,"0,80007","0,256","0,3147",data/raw/world_happiness_2018.csv
11,73,Belarus,Commonwealth of Independent States,"5,4833","6,29925","0,62993",68.0,"0,42414","0,16898","0,3378",data/raw/world_happiness_2018.csv
12,16,Belgium,Western Europe,"6,9269","8,02595","0,8026",73.0,"0,80429","0,31467","0,52606",data/raw/world_happiness_2018.csv
13,49,Belize,Latin America and Caribbean,"5,9556","4,89207","0,48921",63.0,"0,81818","0,3055","0,19389",data/raw/world_happiness_2018.csv
14,136,Benin,Sub-Saharan Africa,"4,1414","2,29103","0,2291",58.0,"0,60699","0,27317","0,14625",data/raw/world_happiness_2018.csv
15,97,Bhutan,South Asia,"5,0821","4,82921","0,48292",65.0,"0,74743","0,60915","0,37381",data/raw/world_happiness_2018.csv
16,62,Bolivia,Latin America and Caribbean,"5,7519","4,55479","0,45548",64.0,"0,8361","0,23621","0,11778",data/raw/world_happiness_2018.csv
17,93,Bosnia and Herzegovina,Central and Eastern Europe,"5,1294","5,54813","0,55481",70.0,"0,38691","0,36134",0,data/raw/world_happiness_2018.csv
18,146,Botswana,Sub-Saharan Africa,"3,5898","6,16459","0,61646",62.0,"0,76855","0,0709","0,20189",data/raw/world_happiness_2018.csv
19,28,Brazil,Latin America and Caribbean,"6,4189","5,97856","0,59786",68.0,"0,68113","0,18451","0,19214",data/raw/world_happiness_2018.csv
20,100,Bulgaria,Central and Eastern Europe,"4,9331","6,3942","0,63942",69.0,"0,49519","0,10746","0,02044",data/raw/world_happiness_2018.csv
21,121,Burkina Faso,Sub-Saharan Africa,"4,4244","1,9021","0,19021",59.0,"0,43015","0,29362","0,27995",data/raw/world_happiness_2018.csv
22,156,Burundi,Sub-Saharan Africa,"2,9045","0,55066","0,05507",56.0,"0,08951","0,24918","0,16621",data/raw/world_happiness_2018.csv
23,120,Cambodia,Southeast Asia,"4,4326","3,32717","0,33272",63.0,"0,96122","0,42895","0,14208",data/raw/world_happiness_2018.csv
24,99,Cameroon,Sub-Saharan Africa,"4,9753","3,24223","0,32422",57.0,"0,62613","0,3059","0,09497",data/raw/world_happiness_2018.csv
25,7,Canada,North America and ANZ,"7,3285","8,06773","0,80677",73.0,"0,90143","0,53657","0,6366",data/raw/world_happiness_2018.csv
26,155,Central African Republic,Sub-Saharan Africa,"3,083","0,14496","0,0145",53.0,"0,42138","0,36541","0,08391",data/raw/world_happiness_2018.csv
27,131,Chad,Sub-Saharan Africa,"4,3006","2,16991","0,21699",54.0,"0,26075","0,30259","0,13119",data/raw/world_happiness_2018.csv
28,25,Chile,Latin America and Caribbean,"6,4762","6,86033","0,68603",71.0,"0,59523","0,32976","0,13264",data/raw/world_happiness_2018.csv
29,86,China,East Asia,"5,2458","5,9993","0,59993",71.0,"0,82375","0,04795","0,22613",data/raw/world_happiness_2018.csv
30,37,Colombia,Latin America and Caribbean,"6,2601","5,82411","0,58241",67.0,"0,73353","0,16499","0,08628",data/raw/world_happiness_2018.csv
31,114,Congo (Brazzaville),Sub-Saharan Africa,"4,5587","4,13327","0,41333",60.0,"0,70919","0,15311","0,16916",data/raw/world_happiness_2018.csv
32,132,Congo (Kinshasa),Sub-Saharan Africa,"4,2449","0,41979","0,04198",57.0,"0,43113","0,33005","0,11434",data/raw/world_happiness_2018.csv
33,13,Costa Rica,Latin America and Caribbean,"7,0717","6,12525","0,61252",71.0,"0,87169","0,2398","0,22018",data/raw/world_happiness_2018.csv
34,82,Croatia,Central and Eastern Europe,"5,3212","6,76097","0,6761",69.0,"0,52503","0,20085","0,08523",data/raw/world_happiness_2018.csv
35,61,Cyprus,Middle East and North Africa,"5,7625","7,45164","0,74516",73.0,"0,58353","0,33886","0,07654",data/raw/world_happiness_2018.csv
36,21,Czech Republic,Central and Eastern Europe,"6,7109","7,47985","0,74799",72.0,"0,74901","0,10704","0,07361",data/raw/world_happiness_2018.csv
37,3,Denmark,Western Europe,"7,5553","8,1935","0,81935",72.0,"0,9431","0,47592","0,89266",data/raw/world_happiness_2018.csv
38,83,Dominican Republic,Latin America and Caribbean,"5,3018","5,953","0,5953",66.0,"0,7982","0,20073","0,23139",data/raw/world_happiness_2018.csv
39,48,Ecuador,Latin America and Caribbean,"5,9732","5,39197","0,5392",69.0,"0,76765","0,19064","0,26294",data/raw/world_happiness_2018.csv
40,122,Egypt,Middle East and North Africa,"4,4192","5,36904","0,5369",65.0,"0,43076","0,15466","0,23331",data/raw/world_happiness_2018.csv
41,40,El Salvador,Latin America and Caribbean,"6,1668","4,8866","0,48866",67.0,"0,63587","0,10888","0,18018",data/raw/world_happiness_2018.csv
42,63,Estonia,Western Europe,"5,7392","7,27703","0,7277",69.0,"0,76302","0,14346","0,38048",data/raw/world_happiness_2018.csv
43,127,Ethiopia,Sub-Saharan Africa,"4,3502","1,86731","0,18673",62.0,"0,62376","0,36749","0,31958",data/raw/world_happiness_2018.csv
44,1,Finland,Western Europe,"7,6321","7,91421","0,79142",72.0,"0,93948","0,3207","0,85993",data/raw/world_happiness_2018.csv
45,23,France,Western Europe,"6,4893","7,83956","0,78396",73.0,"0,71818","0,16373","0,38447",data/raw/world_happiness_2018.csv
46,103,Gabon,Sub-Saharan Africa,"4,7583","6,28407","0,62841",62.0,"0,49178","0,05361","0,11282",data/raw/world_happiness_2018.csv
47,128,Georgia,Commonwealth of Independent States,"4,3405","5,17439","0,51744",67.0,"0,51823","0,06442","0,46992",data/raw/world_happiness_2018.csv
48,15,Germany,Western Europe,"6,9647","8,12357","0,81236",72.0,"0,80907","0,45768","0,61239",data/raw/world_happiness_2018.csv
49,108,Ghana,Sub-Saharan Africa,"4,657","3,58823","0,35882",60.0,"0,68812","0,35439","0,06293",data/raw/world_happiness_2018.csv
50,79,Greece,Western Europe,"5,3579","6,99674","0,69967",72.0,"0,18072",0,"0,0973",data/raw/world_happiness_2018.csv
51,30,Guatemala,Latin America and Caribbean,"6,3819","4,73802","0,4738",66.0,"0,83412","0,29922","0,15453",data/raw/world_happiness_2018.csv
52,140,Guinea,Sub-Saharan Africa,"3,9641","2,08427","0,20843",58.0,"0,54428","0,3104","0,20532",data/raw/world_happiness_2018.csv
53,148,Haiti,Latin America and Caribbean,"3,582","1,90865","0,19087",59.0,"0,03429","0,65657","0,22664",data/raw/world_happiness_2018.csv
54,72,Honduras,Latin America and Caribbean,"5,504","3,75752","0,37575",67.0,"0,63304","0,32935","0,16102",data/raw/world_happiness_2018.csv
55,76,Hong Kong,East Asia,"5,4304","8,52041","0,85204",76.0,"0,72358","0,41245","0,63775",data/raw/world_happiness_2018.csv
56,69,Hungary,Central and Eastern Europe,"5,62","7,10126","0,71013",69.0,"0,35751","0,1016","0,04871",data/raw/world_happiness_2018.csv
57,4,Iceland,Western Europe,"7,4952","8,14589","0,81459",73.0,"0,93378","0,59112","0,30203",data/raw/world_happiness_2018.csv
58,133,India,South Asia,"4,1898","4,37378","0,43738",64.0,"0,74442","0,28815","0,20391",data/raw/world_happiness_2018.csv
59,96,Indonesia,Southeast Asia,"5,0926","5,45189","0,54519",64.0,"0,74282","0,80999","0,03858",data/raw/world_happiness_2018.csv
60,106,Iran,Middle East and North Africa,"4,7066","6,41904","0,6419",68.0,"0,63405","0,47256","0,28289",data/raw/world_happiness_2018.csv
61,117,Iraq,Middle East and North Africa,"4,4556","6,12391","0,61239",65.0,"0,41918","0,24709","0,20703",data/raw/world_happiness_2018.csv
62,14,Ireland,Western Europe,"6,9771","8,77826","0,87783",72.0,"0,84746","0,51293","0,66923",data/raw/world_happiness_2018.csv
63,11,Israel,Middle East and North Africa,"7,19","7,54265","0,75427",73.0,"0,64053","0,43921","0,17875",data/raw/world_happiness_2018.csv
64,47,Italy,Western Europe,"6,0004","7,66585","0,76659",74.0,"0,38789","0,2285","0,06226",data/raw/world_happiness_2018.csv
65,107,Ivory Coast,Sub-Saharan Africa,"4,6712","3,27954","0,32795",55.0,"0,64394","0,24498","0,2253",data/raw/world_happiness_2018.csv
66,56,Jamaica,Latin America and Caribbean,"5,8898","4,96379","0,49638",68.0,"0,79405","0,16111","0,06848",data/raw/world_happiness_2018.csv
67,54,Japan,East Asia,"5,915","7,8482","0,78482",75.0,"0,76331","0,13154","0,32754",data/raw/world_happiness_2018.csv
68,90,Jordan,Middle East and North Africa,"5,1607","4,98216","0,49822",67.0,"0,64574","0,21729","0,29362",data/raw/world_happiness_2018.csv
69,60,Kazakhstan,Commonwealth of Independent States,"5,7901","6,92895","0,6929",67.0,"0,62611","0,24699","0,26414",data/raw/world_happiness_2018.csv
70,124,Kenya,Sub-Saharan Africa,"4,4097","2,98993","0,29899",63.0,"0,69526","0,58984","0,12066",data/raw/world_happiness_2018.csv
71,66,Kosovo,Central and Eastern Europe,"5,6621","5,1836","0,51836",66.0,"0,61861","0,45827","0,05025",data/raw/world_happiness_2018.csv
72,45,Kuwait,Middle East and North Africa,"6,0834","8,93673","0,89367",68.0,"0,76508","0,28009","0,23236",data/raw/world_happiness_2018.csv
73,92,Kyrgyzstan,Commonwealth of Independent States,"5,1308","3,21183","0,32118",66.0,"0,74521","0,46971","0,07567",data/raw/world_happiness_2018.csv
74,110,Laos,East Asia,"4,6231","4,36469","0,43647",63.0,"0,86436","0,38437","0,38006",data/raw/world_happiness_2018.csv
75,53,Latvia,Western Europe,"5,9331","6,96159","0,69616",68.0,"0,50098","0,15337","0,14516",data/raw/world_happiness_2018.csv
76,88,Lebanon,Middle East and North Africa,"5,1989","5,84904","0,5849",70.0,"0,40257","0,31214","0,07353",data/raw/world_happiness_2018.csv
77,141,Lesotho,Sub-Saharan Africa,"3,8082","2,86516","0,28652",55.0,"0,58379","0,19347","0,24401",data/raw/world_happiness_2018.csv
78,149,Liberia,Sub-Saharan Africa,"3,4954","0,45922","0,04592",59.0,"0,57819","0,34407","0,0657",data/raw/world_happiness_2018.csv
79,70,Libya,Middle East and North Africa,"5,5657","5,97401","0,5974",65.0,"0,68453","0,19333","0,32432",data/raw/world_happiness_2018.csv
80,50,Lithuania,Western Europe,"5,9519","7,25776","0,72578",69.0,"0,48291","0,04378","0,01391",data/raw/world_happiness_2018.csv
81,17,Luxembourg,Western Europe,"6,9099","9,55748","0,95575",73.0,"0,87238","0,32808","0,70243",data/raw/world_happiness_2018.csv
82,89,Macedonia,Central and Eastern Europe,"5,1848","5,81755","0,58176",68.0,"0,54451","0,28988","0,1148",data/raw/world_happiness_2018.csv
83,143,Madagascar,Sub-Saharan Africa,"3,7736","1,59086","0,15909",62.0,"0,30514","0,25867","0,10621",data/raw/world_happiness_2018.csv
84,147,Malawi,Sub-Saharan Africa,"3,5868","1,12839","0,11284",60.0,"0,73231","0,35196","0,17561",data/raw/world_happiness_2018.csv
85,35,Malaysia,Southeast Asia,"6,3221","7,04231","0,70423",68.0,"0,4916","0,52117","0,12945",data/raw/world_happiness_2018.csv
86,118,Mali,Sub-Saharan Africa,"4,447","2,24252","0,22425",56.0,"0,50698","0,23319","0,12232",data/raw/world_happiness_2018.csv
87,22,Malta,Western Europe,"6,6266","7,7026","0,77026",72.0,"0,89076","0,62889","0,31128",data/raw/world_happiness_2018.csv
88,126,Mauritania,Middle East and North Africa,"4,3555","3,37786","0,33779",59.0,"0,17742","0,22454","0,20422",data/raw/world_happiness_2018.csv
89,55,Mauritius,Sub-Saharan Africa,"5,8915","6,6107","0,66107",68.0,"0,80596","0,41003","0,10917",data/raw/world_happiness_2018.csv
90,24,Mexico,Latin America and Caribbean,"6,4882","6,29594","0,62959",70.0,"0,66142","0,11494","0,20724",data/raw/world_happiness_2018.csv
91,67,Moldova,Central and Eastern Europe,"5,6397","3,98173","0,39817",67.0,"0,32046","0,28607","0,00071",data/raw/world_happiness_2018.csv
92,94,Mongolia,East Asia,"5,1246","5,54363","0,55436",66.0,"0,5454","0,42312","0,0694",data/raw/world_happiness_2018.csv
93,81,Montenegro,Central and Eastern Europe,"5,3475","6,16886","0,61689",69.0,"0,35787","0,18644","0,17823",data/raw/world_happiness_2018.csv
94,85,Morocco,Middle East and North Africa,"5,2537","4,72266","0,47227",68.0,"0,6351","0,04417","0,1625",data/raw/world_happiness_2018.csv
95,123,Mozambique,Sub-Saharan Africa,"4,4166","1,20071","0,12007",57.0,"0,73276","0,34411","0,34628",data/raw/world_happiness_2018.csv
96,130,Myanmar,Southeast Asia,"4,3078","4,13651","0,41365",62.0,"0,80008",1,"0,38965",data/raw/world_happiness_2018.csv
97,119,Namibia,Sub-Saharan Africa,"4,4413","5,29893","0,52989",61.0,"0,71678","0,08472","0,14045",data/raw/world_happiness_2018.csv
98,101,Nepal,South Asia,"4,8804","2,57953","0,25795",65.0,"0,72622","0,50541","0,17043",data/raw/world_happiness_2018.csv
99,6,Netherlands,Western Europe,"7,4413","8,25267","0,82527",72.0,"0,88072","0,55786","0,64467",data/raw/world_happiness_2018.csv
100,8,New Zealand,North America and ANZ,"7,3238","7,68935","0,76894",72.0,"0,92324","0,61109","0,85091",data/raw/world_happiness_2018.csv
101,41,Nicaragua,Latin America and Caribbean,"6,141","4,05262","0,40526",68.0,"0,72707","0,34752","0,28115",data/raw/world_happiness_2018.csv
102,134,Niger,Sub-Saharan Africa,"4,1655","0,79653","0,07965",58.0,"0,53802","0,29345","0,21643",data/raw/world_happiness_2018.csv
103,91,Nigeria,Sub-Saharan Africa,"5,1554","4,17888","0,41789",54.0,"0,6375","0,33643","0,06948",data/raw/world_happiness_2018.csv
104,2,Norway,Western Europe,"7,5937","8,82704","0,8827",72.0,"0,94747","0,478","0,74335",data/raw/world_happiness_2018.csv
105,75,Pakistan,South Asia,"5,4725","3,95645","0,39565",62.0,"0,4615","0,3616","0,24792",data/raw/world_happiness_2018.csv
106,104,Palestinian Territories,Middle East and North Africa,"4,7433","3,89563","0,38956",66.0,"0,36738","0,14384","0,16731",data/raw/world_happiness_2018.csv
